"id"	"structure"	"dispo_id"	"season"	"season_year"	"dispo_type"	"site_code"	"lon"	"lat"	"local"	"campaign_start"	"campaign.end"	"campaign_duration"	"trap_night"	"trap_cat"
"1098"	1098	"PNRun OUEST"	"3413-CCMR16-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	329535.207	7668169.31	"Piste forestiere Maido"	"23/03/2017"	"27/03/2017"	4	0	0
"1099"	1099	"PNRun OUEST"	"3414-CCMR17-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	329602.349	7667654.73	"Piste forestiere Maido"	"23/03/2017"	"27/03/2017"	4	0	0
"1100"	1100	"PNRun OUEST"	"3415-CCMR18-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	329736.695	7669038.43	"Piste forestiere Maido"	"23/03/2017"	"27/03/2017"	4	0	0
"1101"	1101	"PNRun OUEST"	"3416-CCMR19-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330107.956	7669802.89	"Piste forestiere Maido"	"23/03/2017"	"10/04/2017"	18	18	0
"1102"	1102	"PNRun OUEST"	"3417-CCMR20-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	330170.727	7670066.38	"Piste forestiere Maido"	"23/03/2017"	"27/03/2017"	4	0	0
"1103"	1103	"PNRun OUEST"	"3410-CCMR13-2016-2017-ETE"	"ETE"	"2016-2017"	"CAGE"	"GBR"	329454.482	7666797	"Piste forestiere Maido"	"23/03/2017"	"27/04/2017"	35	31.5	0
"1104"	1104	"PNRun OUEST"	"3399-CCMR02-2017-2018-HIVER"	"HIVER"	"2017-2018"	"CAGE"	"GBR"	330609.962	7670235.62	"Piste forestiere Maido"	"22/05/2017"	"25/10/2017"	156	34	0
"1105"	1105	"PNRun OUEST"	"3400-CCMR03-2017-2018-HIVER"	"HIVER"	"2017-2018"	"CAGE"	"GBR"	331136.231	7669983.36	"Piste forestiere Maido"	"22/05/2017"	"25/10/2017"	156	35	0
"1106"	1106	"PNRun OUEST"	"3401-CCMR04-2017-2018-HIVER"	"HIVER"	"2017-2018"	"CAGE"	"GBR"	330867.506	7669268.36	"Piste forestiere Maido"	"22/05/2017"	"28/06/2017"	37	19	0
"1107"	1107	"PNRun OUEST"	"3402-CCMR05-2017-2018-HIVER"	"HIVER"	"2017-2018"	"CAGE"	"GBR"	330404.713	7669412.77	"Piste forestiere Maido"	"22/05/2017"	"25/10/2017"	156	34	0
"1108"	1108	"PNRun OUEST"	"3404-CCMR07-2017-2018-HIVER"	"HIVER"	"2017-2018"	"CAGE"	"GBR"	330737.892	7668030.97	"Piste forestiere Maido"	"22/05/2017"	"25/10/2017"	156	36	0
"1109"	1109	"PNRun OUEST"	"3405-CCMR08-2017-2018-HIVER"	"HIVER"	"2017-2018"	"CAGE"	"GBR"	330668.259	7667098.23	"Piste forestiere Maido"	"22/05/2017"	"25/10/2017"	156	33	3
"1110"	1110	"PNRun OUEST"	"3406-CCMR09-2017-2018-HIVER"	"HIVER"	"2017-2018"	"CAGE"	"GBR"	330593.119	7666207.17	"Piste forestiere Maido"	"22/05/2017"	"25/10/2017"	156	33	0
"1111"	1111	"PNRun OUEST"	"3410-CCMR13-2017-2018-HIVER"	"HIVER"	"2017-2018"	"CAGE"	"GBR"	329454.482	7666797	"Piste forestiere Maido"	"22/05/2017"	"28/06/2017"	37	18	1
